class,support,precision,recall,f1
B,28,0.9642857142857143,0.9642857142857143,0.9642857142857143
DC,15,0.75,0.6,0.6666666666666666
Mono,35,0.8421052631578947,0.9142857142857143,0.8767123287671232
NK,38,0.8387096774193549,0.6842105263157895,0.7536231884057971
Platelet,1,0.0,0.0,0.0
T,83,0.8461538461538461,0.927710843373494,0.8850574712643678
