class,support,precision,recall,f1
B,72,1.0,0.9444444444444444,0.9714285714285714
DC,43,0.9444444444444444,0.7906976744186046,0.8607594936708861
Mono,94,0.9270833333333334,0.9468085106382979,0.9368421052631579
NK,94,0.9382716049382716,0.8085106382978723,0.8685714285714285
Platelet,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
T,234,0.8984375,0.9829059829059829,0.9387755102040817
