class,support,precision,recall,f1
B,72,0.7407407407407407,0.5555555555555556,0.6349206349206349
DC,43,0.6551724137931034,0.4418604651162791,0.5277777777777778
Mono,94,0.6962025316455697,0.5851063829787234,0.6358381502890174
NK,94,0.5102040816326531,0.5319148936170213,0.5208333333333334
Platelet,3,1.0,0.6666666666666666,0.8
T,234,0.6654676258992805,0.7905982905982906,0.72265625
